,Term1,Term2,Term3,Term4
144,itraconazol,neutropenia,imipramina,enuresis
145,acetofenetidina,fiebre,moxifloxacino,pielonefritis
146,feniltoloxamina,urticaria,cefepima,sepsis
147,trombina,sangrado,gabapentina,dolor
148,haloperidol,vomitos,diclofenaco,keratosis
149,prednisolona,reumatismo,codeina,tos
150,levofloxacino,pielonefritis,atorvastatina,hipercolesterolemia
151,espironolactona,hirsutismo,efedrina,rinitis
152,sulfanilamida,candidosis,glucagon,anafilaxia
153,sulfatiazol,vaginitis,ampicilina,gonorrea
154,fenilefrina,rinitis,morfina,disnea
155,progesterona,amenorrea,naproxeno,fiebre
156,prednisolona,inflamacion,ceftazidima,neutropenia
157,sulfametoxazol,toxoplasmosis,cetoconazol,candidosis
158,tacrolimus,dermatitis,ciclofosfamida,hemosiderosis
159,heparina,angor,bupivacaina,dolor
160,meropenem,fiebre,cetoconazol,histoplasmosis
161,atropina,envenenamiento,acetilcisteina,neumonia
162,teofilina,apnea,alcanfor,dolor
163,rifampicina,lepra,bleomicina,sarcoma
164,acetofenetidina,fiebre,meropenem,apendicitis
165,linezolid,neumonia,carboplatino, m osteosarcoma
166,ibuprofeno,inflamacion,bupivacaina,dolor
167,metronidazol,enterocolitis,guaifenesina,rinitis
168,haloperidol,vomitos,ciclofosfamida,rabdosarcoma
169,diclofenaco,keratosis,clonidina,dolor
170,niacinamida,hiperlipemia,ifosfamida,sarcoma
171,tiamina,beriberi,heparina,tromboembolia
172,cisaprida,dispepsia,acetilcisteina,amiloidosis
173,rifampicina,tuberculosis,aztreonam,septicemia
174,prostaciclina,arteriosclerosis,acetilcisteina,amiloidosis
175,prostaciclina,arteriosclerosis,ciclofosfamida,hemosiderosis
176,sucralfato,gastritis,rifampicina,brucelosis
177,ceftriaxona,gonorrea,ceftazidima,sepsis
178,prazicuantel,bilarziasis,dopamina,shock
179,nabumetona,inflamacion,cerivastatina,hipertrigliceridemia
180,sulfanilamida,candidosis,benzocaina,picazon
181,vancomicina,neutropenia,cetiricina,urticaria
182,imipramina,enuresis,cimetidina,urticaria
183,naproxeno,gota,doxiciclina,neumonia
184,hidroxicloroquina,reumatismo,hidrocodona,dolor
185,nistatina,candidosis,ceftazidima,sepsis
186,permetrina,prurito,norfloxacino,gonorrea
187,sucralfato,gastritis,moxifloxacino,bronquitis
188,diclorodiaminoplatino,linfoma,carisoprodol,espasmo
189,probenecid,gota,desmopresina,trombocitopenia
190,guaifenesina,coqueluche,ceftriaxona,sepsis
191,flucitosina,candidosis,filgrastim,neutropenia
192,temozolomida,melanoma,rifampicina,lepra
193,enoxaparina,tromboflebitis,doxiciclina,neumonia
194,propofol,delirio,nabumetona,dolor
195,feniltoloxamina,urticaria,ceftriaxona,peritonitis
196,itraconazol,histoplasmosis,cafeina,apnea
197,indometacina,dolor,cafeina,apnea
198,mitomicina,adenocarcinoma,hidroxicloroquina,reumatismo
199,codeina,tos,citrato,acidosis
200,ifosfamida,sarcoma,tirocalcitonina,hipercalcemia
201,estreptomicina,yatobyo,guaifenesina,bronquitis
202,digoxina,shock,carisoprodol,espasmo
203,doxiciclina,lues,auranofina,artritis
204,rifabutina,tuberculosis,ametopterina, m osteosarcoma
205,reserpina,esquizofrenia,guaifenesina,tos
206,sulfametoxazol,bronquitis,claritromicina,tonsilitis
207,ketamina,dolor,cloroquina,penfigo
208,isoniazida,tuberculosis,ciprofloxacino,neutropenia
209,  fenilpropano   amina,narcolepsia,acetilcisteina,bronquiectasia
210,prazicuantel,helmintosis,clonidina,glaucoma
211,cisaprida,estreñimiento,cefuroxima,impetigo
212,estreptomicina,yatobyo,imipramina,dolor
213,modafinilo,narcolepsia,fenfluramina,bulimia
214,octreotida,diarrea,ceftazidima,neumonia
215,temozolomida,melanoma,heparina,tromboflebitis
216,oxigeno,gangrenoso,cetiricina,rinitis
217,propofol,delirio,alopurinol,gota
218,cabergolina,hiperprolactinemia,atropina,uveitis
219,mercaptopurina,linfoma,cefotaxima,neumonia
220,nandrolona,anemia,gabapentina,dolor
221,pamidronato,hipercalcemia,mesna,sangrado
222,eflornitina,politricosis,benzocaina,picazon
223,prednisona,hipercalcemia,metronidazol,giardosis
224,octreotida,adenoma,ciprofloxacino,neutropenia
225,furosemida,edema,colecalciferol,soriasis
226,moxifloxacino,pielonefritis,atorvastatina,hipertrigliceridemia
227,estreptomicina,peste,ibuprofeno,dismenorrea
228,tiroglobulina,bocio,octreotida,adenoma
229,cocaina,dolor,carisoprodol,dolor
230,rifampicina,meningitis,pamidronato,hipercalcemia
231,octreotida,acromegalia,irinotecan,leucemia
232,metadona,dolor,cloroquina,amebiasis
233,meropenem,meningitis,guaifenesina,sinusitis
234,progesterona,amenorrea,loratadina,urticaria
235,insulina,humano,glicerina,dermatitis
236,minoxidil,calvicie,diclofenaco,dismenorrea
237,paromomicina,amebiasis,epinefrina,glaucoma
238,cloroquina,plasmodiosis,cetiricina,urticaria
239,mebendazol,helmintosis,clindamicina,toxoplasmosis
240,vincristina,linfoma,bleomicina,sarcoma
241,ipratropio,bronquitis,prostaciclina,arteriosclerosis
242,feniltoloxamina,rinitis,difenhidramina,rinitis
243,teofilina,apnea,lovastatina,hipertrigliceridemia
244,ciclofosfamida,reumatismo,cefuroxima,impetigo
245,loratadina,urticaria,dapsona,lepra
246,voriconazol,aspergilosis,trombina,sangrado
247,prazicuantel,bilarziasis,hidroxicarbamida,soriasis
248,guaifenesina,tos,diclorodiaminoplatino,carcinoma
249,gemfibrozilo,hipertrigliceridemia,bromocriptina,amenorrea
250,meropenem,peritonitis,ciprofloxacino,neutropenia
251,lansoprazol,esofagitis,alopurinol,gota
252,tetraciclina,bronquitis,diclorodiaminoplatino,mesotelioma
253,lidocaina,dolor,enoxaparina,tromboembolia
254,pseudoefedrina,rinitis,etoposido,leucemia
255,metilprednisolona,hipersensibilidad,desmopresina,enuresis
256,tiroglobulina,tirotoxicosis,morfina,disnea
257,trimetoprima,bronquitis,cetoconazol,leishmaniosis
258,cefotaxima,sepsis,cefotaxima,peritonitis
259,pseudoefedrina,rinitis,acetofenetidina,fiebre
260,trimetoprima,toxoplasmosis,sildenafilo,impotencia
261,escopolamina,disenteria,metilprednisolona,inflamacion
262,colchicina,gota,carbamazepina,esquizofrenia
263,octreotida,acromegalia,desmopresina,enuresis
264,mesna,cistitis,cimetidina,urticaria
265,rifampicina,tuberculosis,guaifenesina,sinusitis
266,fluconazol,meningitis,cefuroxima,impetigo
267,metiltestosterona,hipogonadismo,acetazolamida,glaucoma
268,propofol,desazon,lidocaina,taquiarritmia
269,dihidrocodeina,dolor,ceftazidima,sepsis
270,itraconazol,aspergilosis,enoxaparina,angor
271,guaifenesina,rinitis,ceftazidima,neumonia
272,dextran,shock,dexametasona,rinitis
273,fenilpropanolamina,obesidad,fenfluramina,obesidad
274,cefotaxima,meningitis,alprazolam,agorafobia
275,dihidrocodeina,dolor,citrato,acidosis
276,cloroquina,amebiasis,cefepima,sepsis
277,sucralfato,neumonia,ametopterina,leucemia
278,moxifloxacino,gonorrea,estrona,hipogonadismo
279,vinblastina,corioepitelioma,gabapentina,dolor
280,temozolomida,astroglioma,insulina,humano
281,voriconazol,aspergilosis,cortisol,inflamacion
282,nitazoxanida,giardosis,leucovorina,anemia
283,topiramato,epilepsia,niacina,hiperlipemia
284,capsaicina,neuralgia,butorfanol,dolor
285,fenilefrina,hipopiesis,metilprednisolona,hipersensibilidad
286,testosterona,hipogonadismo,norfloxacino,prostatitis
287,pseudoefedrina,rinitis,meprobamato,espasmo
288,cefotaxima,sepsis,l arginina,alcalosis
289,dextran,shock,cefuroxima,neumonia
290,mitomicina,adenocarcinoma,aciclovir,varicela
291,tacrolimus,dermatitis,nilutamida,carcinoma
292,fluconazol,candidosis,celecoxib,dismenorrea
293,espironolactona,hipokalemia,pilocarpina,midriasis
294,escopolamina,rinitis,melfalan,neuroblastoma
295,ibuprofeno,gota,alcanfor,dolor
296,cimetidina,dispepsia,caspofungina,aspergilosis
297,pseudoefedrina,rinitis,diclorodiaminoplatino, m osteosarcoma
298,talidomida,reticulosis,acetilcisteina,bronquiectasia
299,estradiol,hipogonadismo,celecoxib,dismenorrea
300,glucagon,anafilaxia,epinefrina,anafilaxia
301,haloperidol,vomitos,ciclofosfamida,retinoblastoma
302,linezolid,neumonia,estrona,hipogonadismo
303,prednisona,hipercalcemia,mitoxantrona,linfoma
304,voriconazol,aspergilosis,budesonida,rinitis
305,dapsona,lepra,auranofina,penfigo
306,fentanilo,dolor,ciclofosfamida,hemosiderosis
307,cerivastatina,hipertrigliceridemia,ceftriaxona,gonorrea
308,tiroglobulina,tirotoxicosis,itraconazol,onicomicosis
309,eritromicina,gastroenteritis,cefepima,pielonefritis
310,cerivastatina,hipercolesterolemia,aprotinina,sangrado
311,rifampicina,brucelosis,cefotaxima,neumonia
312,insulina,hiperglicemia,ciclofosfamida,hemosiderosis
313,glucagon,bradicardia,alprazolam,agorafobia
314,prednisona,hipercalcemia,eritromicina,gastroenteritis
315,cortisol,shock,ampicilina,gonorrea
316,vincristina,rabdosarcoma,cisaprida,dispepsia
317,tamoxifeno,ginecomastia,finasterida,calvicie
318,finasterida,calvicie,dextran,shock
319,vinblastina,reticulosis,eritromicina,coqueluche
320,epinefrina,taquiarritmia,codeina,dolor
321,norepinefrina,shock,amoxicilina,sinusitis
322,isotretinoina,leucemia,ciprofloxacino,sinusitis
323,fenilpropanolamina,rinitis,diclofenaco,keratosis
324,liotironina,tirotoxicosis,mesna,cistitis
325,sucralfato,esofagitis,ipratropio,rinitis
326,escopolamina,diverticulitis,colecalciferol,osteoporosis
327,ipratropio,bronquitis,ceftazidima,meningitis
328,sorbitol,envenenamiento,carbamazepina,epilepsia
329,moxifloxacino,sinusitis,levetiracetam,epilepsia
330,delta   tetrahidrocanabinol,anorexia,clorpromazina,trismo
331,mercaptopurina,linfoma,calcitriol,hiperparatiroidismo
332,trombina,sangrado,oxigeno,neumonia
333,omeprazol,esofagitis,furosemida,edema
334,trombina,sangrado,carisoprodol,dolor
335,opio,diarrea,cefotaxima,gonorrea
336,levofloxacino,neumonia,desmopresina,enuresis
337,moxifloxacino,cistitis,clonazepam,esquizofrenia
338,ceftazidima,sepsis,bromocriptina,hiperprolactinemia
339,oxacilina,septicemia,insulina,hiperglicemia
340,selegilina,esquizofrenia,citalopram,demencia
341,venlafaxina,dolor,tiabendazol,helmintosis
342,naproxeno,dismenorrea,ampicilina,disenteria
343,procaina,dolor,levofloxacino,tuberculosis
344,cefuroxima,sinusitis,aprotinina,sangrado
345,espironolactona,hirsutismo,colecalciferol,osteoporosis
346,niacinamida,pelagra,bupivacaina,dolor
347,procarbazina,linfoma,clorpromazina,trismo
348,temozolomida,astroglioma,ibuprofeno,fiebre
349,simvastatina,hipertrigliceridemia,prostaciclina,purpura
350,vincristina,neuroblastoma,bupivacaina,dolor
351,tiroglobulina,bocio,itraconazol,leishmaniosis
352,eugenol,dentalgia,cocaina,tos
353,ibuprofeno,gota,ciprofloxacino,prostatitis
354,hidromorfona,tos,claritromicina,tonsilitis
355,meticilina,neumonia,doxilamina,cefalodinia
356,espironolactona,edema,metiltestosterona,hipogonadismo
357,quinina,babesiasis,meropenem,fiebre
358,cortisol,reumatismo,colecalciferol,soriasis
359,teofilina,bronquitis,calcitriol,raquitismo
360,indometacina,bursitis,finasterida,calvicie
361,itraconazol,aspergilosis,ceftriaxona,epididimitis
362,naproxeno,dismenorrea,dapsona,lepra
363,eugenol,dentalgia,ciclofosfamida,hemosiderosis
364,oximorfona,dolor,fluconazol,candidosis
365,talco,neumotorax,ampicilina,gonorrea
366,valdecoxib,dismenorrea,caspofungina,aspergilosis
367,mitomicina,glaucoma,cefuroxima,neumonia
368,loratadina,urticaria,isoniazida,tuberculosis
369,leflunomida,reumatismo,guaifenesina,sinusitis
370,sucralfato,mucitis,hidroxicloroquina,reumatismo
371,colecalciferol,soriasis,cefuroxima,faringitis
372,reserpina,esquizofrenia,citalopram,demencia
373,sulfatiazol,vaginitis,fenfluramina,obesidad
374,rofecoxib,dismenorrea,eugenol,dentalgia
375,delta   tetrahidrocanabinol,nauseoso,filgrastim,neutropenia
376,ifosfamida,linfoma,atorvastatina,hipertrigliceridemia
377,carisoprodol,espasmo,ampicilina,listerelosis
378,pseudoefedrina,rinitis,cocaina,tos
379,timolol,glaucoma,ibuprofeno,bursitis
380,propoxifeno,dolor,prednisolona,inflamacion
381,nitazoxanida,criptosporidiasis,midazolam,desazon
382,sorbitol,envenenamiento,niacina,pelagra
383,doxiciclina,lues,cefuroxima,sinusitis
384,opio,dolor,ciprofloxacino,osteomielitis
385,testosterona,hipogonadismo,cortisol,reumatismo
386,lovastatina,hipercolesterolemia,isoniazida,tuberculosis
387,oxacilina,osteomielitis,heparina,angor
388,meropenem,apendicitis,loratadina,urticaria
389,fenilefrina,rinitis,difenhidramina,nauseoso
390,meropenem,meningitis,gabapentina,epilepsia
391,vancomicina,meningitis,cefotaxima,meningitis
392,prazicuantel,helmintosis,fenitoina,epilepsia
393,fenobarbital,hiperbilirrubinemia,meropenem,fiebre
394,metilprednisolona,hipersensibilidad,mentol,dolor
395,modafinilo,cansancio,citrato,acidosis
396,teofilina,asma,estradiol,hipogonadismo
397,ciprofloxacino,sinusitis,benzocaina,otalgia
398,paraldehido,delirio,loratadina,rinitis
399,tiabendazol,helmintosis,leflunomida,reumatismo
400,escopolamina,disenteria,meclozina,vomitos
401,medroxiprogesterona,hipoventilacion,bromocriptina,hiperprolactinemia
402,procaina,dolor,oxacilina,celulitis
403,penicilamina,reumatismo,ciprofloxacino,prostatitis
404,guaifenesina,sinusitis,cerivastatina,hipercolesterolemia
405,quinina,plasmodiosis,flecainida,taquiarritmia
406,timolol,glaucoma,imipramina,dolor
407,cetiricina,urticaria,amitriptilina,dolor
408,fenol,dolor,guaifenesina,laringitis
409,ibuprofeno,dolor,etoposido,rabdosarcoma
410,vinblastina,corioepitelioma,hidroxicarbamida,leucocitosis
411,testosterona,hipogonadismo,leflunomida,reumatismo
412,irinotecan,linfoma,ciprofloxacino,fiebre
413,warfarina,tromboflebitis,niacinamida,hiperlipemia
414,temozolomida,astroglioma,acetilcisteina,envenenamiento
415,vincristina,linfoma,claritromicina,tonsilitis
416,hidroxicloroquina,reumatismo,diclorodiaminoplatino,linfoma
417,prazicuantel,helmintosis,indometacina,dolor
418,mebendazol,helmintosis,clonazepam,neuralgia
419,lindano,prurito,fluconazol,meningitis
420,fentanilo,dolor,cefuroxima,faringitis
421,omeprazol,esofagitis,l arginina,alcalosis
422,azufre,soriasis,propranolol,cromafinoma
423,vancomicina,meningitis,clofazimina,lepra
424,oxitetraciclina,lues,hidroquinona,hiperpigmentacion
425,leflunomida,reumatismo,aspirina,fiebre
426,filgrastim,neutropenia,cefepima,neutropenia
427,rifampicina,tuberculosis,difenhidramina,urticaria
428,niacina,hiperlipemia,difenhidramina,nauseoso
429,quinina,babesiasis,diclorodiaminoplatino,mesotelioma
430,ibuprofeno,dismenorrea,atropina,envenenamiento
431,sucralfato,mucitis,gabapentina,epilepsia
432,acetofenetidina,fiebre,aspirina,inflamacion
433,clindamicina,toxoplasmosis,albendazol,helmintosis
434,guaifenesina,laringitis,ciprofloxacino,gonorrea
435,estrona,hipogonadismo,enoxaparina,tromboflebitis
436,flecainida,taquiarritmia,desmopresina,sangrado
437,tacrolimus,dermatitis,cimetidina,dispepsia
438,eritromicina,lues,colecalciferol,soriasis
439,glucosa,hipoglucemia,acetilcisteina,bronquiectasia
440,itraconazol,onicomicosis,daunorubicina,leucemia
441,epinefrina,anafilaxia,albendazol,helmintosis
442,mesna,cistitis,atropina,bradicardia
443,ifosfamida,sarcoma,clonidina,dolor
444,levofloxacino,bronquitis,epinefrina,taquiarritmia
445,dexametasona,vomitos,cocaina,tos
446,levofloxacino,tuberculosis,ipratropio,bronquitis
447,rifabutina,tuberculosis,ciprofloxacino,osteomielitis
448,rifampicina,meningitis,fluconazol,histoplasmosis
449,ipratropio,bronquitis,imipenem,septicemia
450,naproxeno,inflamacion,benzocaina,picazon
451,prometazina,rinitis,metronidazol,rosacea
452,sildenafilo,impotencia,mitoxantrona,sarcoma
453,hidromorfona,dolor,hidrocodona,dolor
454,amitriptilina,dolor,acetazolamida,glaucoma
455,progesterona,amenorrea,meprobamato,espasmo
456,cortisol,shock,ceftazidima,neutropenia
457,lovastatina,hipertrigliceridemia,ibuprofeno,dolor
458,propoxifeno,dolor,heparina,angor
459,medroxiprogesterona,hipoventilacion,albendazol,helmintosis
460,lidocaina,dolor,calcitriol,hipocalcemia
461,perfenazina,esquizofrenia,metiltestosterona,hipogonadismo
462,cloroquina,plasmodiosis,brimonidina,glaucoma
463,melfalan,neuroblastoma,cefotaxima,gonorrea
464,naproxeno,gota,aprotinina,sangrado
465,ametopterina,leucemia,cocaina,tos
466,progesterona,amenorrea,itraconazol,leishmaniosis
467,rifampicina,meningitis,alopurinol,gota
468,mebendazol,helmintosis,imipenem,septicemia
469,fenitoina,epilepsia,hidromorfona,tos
470,desoxiefedrina,obesidad,cefepima,pielonefritis
471,ivermectina,prurito,atropina,envenenamiento
472,tiroxina,bocio,levofloxacino,pielonefritis
473,moxifloxacino,sinusitis,clofazimina,lepra
474,tiamina,beriberi,guaifenesina,tos
475,codeina,dolor,clorpromazina,nauseoso
476,propoxifeno,dolor,calcitriol,raquitismo
477,sucralfato,gastritis,opio,diarrea
478,cortisol,reumatismo,fluconazol,histoplasmosis
479,sulfatiazol,vaginitis,ampicilina,disenteria
480,trimetoprima,toxoplasmosis,cefotaxima,sepsis
481,oxitetraciclina,gonorrea,itraconazol,aspergilosis
482,flutamida,hirsutismo,clorpromazina,vomitos
483,eritromicina,coqueluche,amitriptilina,dolor
484,meropenem,neutropenia,dietilestilbestrol,carcinoma
485,espironolactona,edema,deferoxamina,hemocromatosis
486,sorbitol,envenenamiento,prednisolona,reumatismo
487,ifosfamida,sarcoma,colchicina,amiloidosis
488,naproxeno,bursitis,ciprofloxacino,neutropenia
489,norfloxacino,prostatitis,ciclofosfamida,leucemia
490,vinblastina,reticulosis,diclorodiaminoplatino,neuroblastoma
491,paromomicina,amebiasis,clorpromazina,trismo
492,prednisolona,hipersensibilidad,fisostigmina,glaucoma
493,rofecoxib,dismenorrea,clindamicina,toxoplasmosis
494,melfalan,neuroblastoma,cetiricina,urticaria
495,metoclopramida,gastroparesia,hidroxicarbamida,soriasis
496,loratadina,urticaria,cortisol,inflamacion
497,clonazepam,neuralgia,azitromicina,tonsilitis
498,propiltiouracilo,bocio,insulina,hiperglicemia
499,colchicina,amiloidosis,l arginina,acidosis
500,acetofenetidina,fiebre,medroxiprogesterona,hipoventilacion
501,pralidoxima,envenenamiento,daunorubicina,leucemia
502,naproxeno,inflamacion,diclorodiaminoplatino,neuroblastoma
503,glicerina,estreñimiento,cefuroxima,gonorrea
504,vinblastina,reticulosis,escopolamina,disenteria
505,metilprednisolona,inflamacion,cetoconazol,candidosis
506,fenol,dolor,carbamazepina,epilepsia
507,glucosa,hipoglucemia,digoxina,shock
508,furosemida,edema,desmopresina,trombocitopenia
509,dopamina,shock,clonidina,glaucoma
510,trimetoprima,toxoplasmosis,claritromicina,tonsilitis
511,moxifloxacino,gonorrea,ciclofosfamida,hemosiderosis
512,simvastatina,hipercolesterolemia,levofloxacino,neumonia
513,opio,dolor,moxifloxacino,cistitis
514,prostaciclina,purpura,cloroquina,amebiasis
515,daunorubicina,leucemia,bromocriptina,hipogonadismo
516,levofloxacino,neumonia,insulina,humano
517,cefepima,neumonia,ampicilina,meningitis
518,fluconazol,meningitis,cimetidina,acidez
519,cetoconazol,candidosis,estradiol,hipogonadismo
520,flucitosina,meningitis,dietilestilbestrol,carcinoma
521,nortriptilina,dolor,lidocaina,dolor
522,captopril,edema,acetazolamida,glaucoma
523,prostaciclina,arteriosclerosis,benzocaina,otalgia
524,prednisona,inflamacion,atorvastatina,hipertrigliceridemia
525,norfloxacino,cistitis,mesna,cistitis
526,ibuprofeno,inflamacion,finasterida,calvicie
527,papaverina,tromboembolia,tirocalcitonina,hipercalcemia
528,rifampicina,brucelosis,nabumetona,dolor
529,delta   tetrahidrocanabinol,vomitos,carbamazepina,esquizofrenia
530,pseudoefedrina,rinitis,finasterida,hirsutismo
531,nitroglicerina,eclampsia,levofloxacino,bronquitis
