,Term1,Term2,Term3,Term4
42,septicemia,microorganismo,argiria,plateado
43,viremia,virico,prurito,animal
44,neumoconiosis,polvo,argiria,plateado
45,sarna,animal,ahogamiento,agua
46,prurito,artropodo,dermatomicosis,hongos
47,viremia,virico,micetoma,hongos
48,hemocromatosis,hierro,criptosporidiasis,criptosporidio
49,excoriacion,friccion,coccidiosis,protozoo
50,septicemia,microorganismo,miasis,artropodo
51,hipersensibilidad,droga,hemocromatosis,hierro
52,neumoconiosis,polvo,leishmaniosis,protozoo
53,superinfeccion,organismo,onicomicosis,hongos
54,osteomielitis,organismo,hemocromatosis,hierro
55,sepsis,microorganismo,miasis,artropodo
56,hemosiderosis,hierro,excoriacion,friccion
57,viremia,virico,hemosiderosis,hierro
58,polio,enterovirico,fototoxicidad,claro
59,prurito,artropodo,coccidiosis,protozoo
60,ahogamiento,agua,coccidiosis,protozoo
61,neumoconiosis,polvo,fototoxicidad,claro
62,fototoxicidad,claro,hemosiderosis,hierro
63,sepsis,microorganismo,fototoxicidad,claro
64,sarna,animal,coccidiosis,protozoo
65,miasis,insectos,argiria,plateado
66,prurito,animal,miasis,insectos
67,septicemia,microorganismo,criptosporidiasis,criptosporidio
68,neumoconiosis,polvo,hemocromatosis,hierro
69,prurito,animal,argiria,plateado
70,sepsis,microorganismo,dermatomicosis,hongos
71,micetoma,hongos,amiantosis,asbestos
72,micetoma,hongos,argiria,plateado
73,hemocromatosis,hierro,argiria,plateado
74,prurito,artropodo,pielonefritis,organismo
75,leishmaniosis,protozoo,amiantosis,asbestos
76,hipersensibilidad,droga,coccidiosis,protozoo
77,psitacosis,clamidia,micetoma,hongos
78,sarna,animal,leishmaniosis,protozoo
79,hemosiderosis,hierro,argiria,plateado
80,hemocromatosis,hierro,ahogamiento,agua
81,superinfeccion,organismo,polio,enterovirico
82,septicemia,microorganismo,pielonefritis,organismo
83,septicemia,microorganismo,leishmaniosis,protozoo
84,sepsis,microorganismo,prurito,artropodo
85,prurito,artropodo,prurito,animal
86,prurito,animal,ahogamiento,agua
87,osteomielitis,organismo,miasis,artropodo
88,septicemia,microorganismo,neumoconiosis,polvo
89,miasis,insectos,dermatomicosis,hongos
90,viremia,virico,fototoxicidad,claro
91,psitacosis,clamidia,excoriacion,friccion
92,osteomielitis,organismo,coccidiosis,protozoo
93,hemosiderosis,hierro,hemocromatosis,hierro
94,sepsis,microorganismo,miasis,insectos
95,psitacosis,clamidia,hemosiderosis,hierro
96,neumoconiosis,polvo,hipersensibilidad,droga
97,ahogamiento,agua,criptosporidiasis,criptosporidio
98,micetoma,hongos,ahogamiento,agua
99,fototoxicidad,claro,hipersensibilidad,droga
100,onicomicosis,hongos,miasis,insectos
101,prurito,animal,hemosiderosis,hierro
102,miasis,artropodo,hemosiderosis,hierro
103,prurito,artropodo,leishmaniosis,protozoo
104,miasis,artropodo,argiria,plateado
105,neumoconiosis,polvo,miasis,artropodo
106,hemosiderosis,hierro,amiantosis,asbestos
107,prurito,animal,excoriacion,friccion
108,prurito,animal,psitacosis,clamidia
109,pielonefritis,organismo,miasis,artropodo
110,viremia,virico,neumoconiosis,polvo
111,superinfeccion,organismo,prurito,animal
112,sepsis,microorganismo,micetoma,hongos
113,onicomicosis,hongos,miasis,artropodo
114,viremia,virico,excoriacion,friccion
115,sepsis,microorganismo,neumoconiosis,polvo
116,prurito,animal,hemocromatosis,hierro
117,pielonefritis,organismo,amiantosis,asbestos
118,miasis,insectos,excoriacion,friccion
119,leishmaniosis,protozoo,hipersensibilidad,droga
120,fototoxicidad,claro,excoriacion,friccion
121,prurito,artropodo,osteomielitis,organismo
122,polio,enterovirico,neumoconiosis,polvo
123,neumoconiosis,polvo,hemosiderosis,hierro
124,dermatomicosis,hongos,amiantosis,asbestos
125,leishmaniosis,protozoo,dermatomicosis,hongos
126,viremia,virico,dermatomicosis,hongos
127,prurito,artropodo,hipersensibilidad,droga
128,neumoconiosis,polvo,ahogamiento,agua
129,miasis,insectos,amiantosis,asbestos
130,superinfeccion,organismo,prurito,artropodo
131,polio,enterovirico,ahogamiento,agua
132,pielonefritis,organismo,miasis,insectos
133,dermatomicosis,hongos,coccidiosis,protozoo
134,psitacosis,clamidia,fototoxicidad,claro
135,hipersensibilidad,droga,argiria,plateado
136,polio,enterovirico,sarna,animal
137,ahogamiento,agua,dermatomicosis,hongos
138,fototoxicidad,claro,leishmaniosis,protozoo
139,miasis,artropodo,sarna,animal
140,hipersensibilidad,droga,dermatomicosis,hongos
141,neumoconiosis,polvo,micetoma,hongos
142,superinfeccion,organismo,amiantosis,asbestos
143,polio,enterovirico,excoriacion,friccion
144,neumoconiosis,polvo,dermatomicosis,hongos
145,onicomicosis,hongos,leishmaniosis,protozoo
146,viremia,virico,argiria,plateado
147,superinfeccion,organismo,excoriacion,friccion
148,prurito,animal,sarna,animal
149,prurito,artropodo,sarna,animal
150,onicomicosis,hongos,micetoma,hongos
151,polio,enterovirico,argiria,plateado
152,psitacosis,clamidia,miasis,insectos
153,prurito,artropodo,amiantosis,asbestos
154,superinfeccion,organismo,hemocromatosis,hierro
155,onicomicosis,hongos,sarna,animal
156,onicomicosis,hongos,hipersensibilidad,droga
157,neumoconiosis,polvo,criptosporidiasis,criptosporidio
158,viremia,virico,sepsis,microorganismo
159,pielonefritis,organismo,coccidiosis,protozoo
160,miasis,artropodo,micetoma,hongos
161,polio,enterovirico,criptosporidiasis,criptosporidio
162,pielonefritis,organismo,micetoma,hongos
163,miasis,artropodo,criptosporidiasis,criptosporidio
164,septicemia,microorganismo,sepsis,microorganismo
165,prurito,artropodo,ahogamiento,agua
166,viremia,virico,superinfeccion,organismo
167,hipersensibilidad,droga,amiantosis,asbestos
168,neumoconiosis,polvo,osteomielitis,organismo
169,polio,enterovirico,hemocromatosis,hierro
170,miasis,insectos,leishmaniosis,protozoo
171,leishmaniosis,protozoo,ahogamiento,agua
172,prurito,artropodo,hemocromatosis,hierro
173,psitacosis,clamidia,argiria,plateado
174,osteomielitis,organismo,hipersensibilidad,droga
175,superinfeccion,organismo,sarna,animal
176,viremia,virico,criptosporidiasis,criptosporidio
177,leishmaniosis,protozoo,hemosiderosis,hierro
178,viremia,virico,polio,enterovirico
179,viremia,virico,sarna,animal
180,prurito,artropodo,polio,enterovirico
181,pielonefritis,organismo,dermatomicosis,hongos
182,fototoxicidad,claro,amiantosis,asbestos
183,leishmaniosis,protozoo,coccidiosis,protozoo
184,septicemia,microorganismo,prurito,animal
185,superinfeccion,organismo,miasis,insectos
186,sarna,animal,argiria,plateado
187,onicomicosis,hongos,coccidiosis,protozoo
188,fototoxicidad,claro,dermatomicosis,hongos
189,hemosiderosis,hierro,ahogamiento,agua
190,fototoxicidad,claro,coccidiosis,protozoo
191,miasis,insectos,micetoma,hongos
192,superinfeccion,organismo,coccidiosis,protozoo
193,coccidiosis,protozoo,argiria,plateado
194,micetoma,hongos,sarna,animal
195,ahogamiento,agua,argiria,plateado
196,sarna,animal,hemosiderosis,hierro
197,septicemia,microorganismo,prurito,artropodo
198,psitacosis,clamidia,ahogamiento,agua
199,sepsis,microorganismo,ahogamiento,agua
200,viremia,virico,amiantosis,asbestos
201,prurito,artropodo,criptosporidiasis,criptosporidio
202,micetoma,hongos,criptosporidiasis,criptosporidio
203,pielonefritis,organismo,polio,enterovirico
204,excoriacion,friccion,dermatomicosis,hongos
205,fototoxicidad,claro,osteomielitis,organismo
206,miasis,artropodo,amiantosis,asbestos
207,sepsis,microorganismo,hipersensibilidad,droga
208,pielonefritis,organismo,argiria,plateado
209,polio,enterovirico,hemosiderosis,hierro
210,micetoma,hongos,excoriacion,friccion
211,osteomielitis,organismo,hemosiderosis,hierro
212,superinfeccion,organismo,dermatomicosis,hongos
213,micetoma,hongos,hemosiderosis,hierro
214,prurito,animal,pielonefritis,organismo
215,sepsis,microorganismo,leishmaniosis,protozoo
216,superinfeccion,organismo,miasis,artropodo
217,hemosiderosis,hierro,criptosporidiasis,criptosporidio
218,fototoxicidad,claro,sarna,animal
219,sepsis,microorganismo,psitacosis,clamidia
220,sepsis,microorganismo,excoriacion,friccion
221,fototoxicidad,claro,argiria,plateado
222,miasis,insectos,hipersensibilidad,droga
223,coccidiosis,protozoo,amiantosis,asbestos
224,criptosporidiasis,criptosporidio,argiria,plateado
225,psitacosis,clamidia,leishmaniosis,protozoo
226,miasis,artropodo,dermatomicosis,hongos
227,neumoconiosis,polvo,excoriacion,friccion
228,psitacosis,clamidia,polio,enterovirico
229,sarna,animal,hipersensibilidad,droga
230,criptosporidiasis,criptosporidio,amiantosis,asbestos
231,sarna,animal,amiantosis,asbestos
232,superinfeccion,organismo,ahogamiento,agua
233,pielonefritis,organismo,ahogamiento,agua
234,ahogamiento,agua,amiantosis,asbestos
235,sepsis,microorganismo,polio,enterovirico
236,hipersensibilidad,droga,excoriacion,friccion
237,miasis,insectos,criptosporidiasis,criptosporidio
238,psitacosis,clamidia,hipersensibilidad,droga
239,prurito,artropodo,fototoxicidad,claro
240,septicemia,microorganismo,miasis,insectos
241,viremia,virico,miasis,artropodo
242,miasis,insectos,sarna,animal
243,pielonefritis,organismo,excoriacion,friccion
244,leishmaniosis,protozoo,argiria,plateado
245,miasis,artropodo,hemocromatosis,hierro
246,septicemia,microorganismo,coccidiosis,protozoo
247,prurito,artropodo,miasis,insectos
248,superinfeccion,organismo,hemosiderosis,hierro
249,hemocromatosis,hierro,coccidiosis,protozoo
250,pielonefritis,organismo,osteomielitis,organismo
251,hemocromatosis,hierro,dermatomicosis,hongos
252,septicemia,microorganismo,psitacosis,clamidia
253,polio,enterovirico,onicomicosis,hongos
254,leishmaniosis,protozoo,hemocromatosis,hierro
255,viremia,virico,osteomielitis,organismo
256,fototoxicidad,claro,ahogamiento,agua
257,prurito,animal,neumoconiosis,polvo
258,hipersensibilidad,droga,criptosporidiasis,criptosporidio
259,neumoconiosis,polvo,coccidiosis,protozoo
260,viremia,virico,prurito,artropodo
261,prurito,artropodo,argiria,plateado
262,fototoxicidad,claro,criptosporidiasis,criptosporidio
263,excoriacion,friccion,amiantosis,asbestos
264,pielonefritis,organismo,criptosporidiasis,criptosporidio
265,osteomielitis,organismo,miasis,insectos
266,miasis,insectos,ahogamiento,agua
267,pielonefritis,organismo,hemosiderosis,hierro
268,septicemia,microorganismo,hemocromatosis,hierro
269,miasis,artropodo,ahogamiento,agua
270,sarna,animal,hemocromatosis,hierro
271,superinfeccion,organismo,sepsis,microorganismo
272,excoriacion,friccion,ahogamiento,agua
273,micetoma,hongos,dermatomicosis,hongos
274,excoriacion,friccion,criptosporidiasis,criptosporidio
275,prurito,animal,amiantosis,asbestos
276,fototoxicidad,claro,micetoma,hongos
277,onicomicosis,hongos,ahogamiento,agua
278,sepsis,microorganismo,criptosporidiasis,criptosporidio
279,onicomicosis,hongos,excoriacion,friccion
280,neumoconiosis,polvo,sarna,animal
281,polio,enterovirico,micetoma,hongos
282,sepsis,microorganismo,pielonefritis,organismo
283,psitacosis,clamidia,coccidiosis,protozoo
284,pielonefritis,organismo,sarna,animal
285,miasis,artropodo,coccidiosis,protozoo
286,septicemia,microorganismo,ahogamiento,agua
287,polio,enterovirico,leishmaniosis,protozoo
288,prurito,animal,polio,enterovirico
289,hemosiderosis,hierro,coccidiosis,protozoo
290,psitacosis,clamidia,dermatomicosis,hongos
291,fototoxicidad,claro,onicomicosis,hongos
292,osteomielitis,organismo,criptosporidiasis,criptosporidio
293,sepsis,microorganismo,sarna,animal
294,prurito,artropodo,excoriacion,friccion
295,polio,enterovirico,miasis,artropodo
296,septicemia,microorganismo,osteomielitis,organismo
297,psitacosis,clamidia,criptosporidiasis,criptosporidio
298,amiantosis,asbestos,argiria,plateado
299,sarna,animal,excoriacion,friccion
300,hipersensibilidad,droga,ahogamiento,agua
301,viremia,virico,ahogamiento,agua
302,superinfeccion,organismo,argiria,plateado
303,prurito,artropodo,hemosiderosis,hierro
304,polio,enterovirico,coccidiosis,protozoo
305,psitacosis,clamidia,onicomicosis,hongos
306,micetoma,hongos,leishmaniosis,protozoo
307,onicomicosis,hongos,hemosiderosis,hierro
308,hemocromatosis,hierro,excoriacion,friccion
309,osteomielitis,organismo,ahogamiento,agua
310,fototoxicidad,claro,miasis,insectos
311,prurito,animal,osteomielitis,organismo
312,prurito,animal,micetoma,hongos
313,onicomicosis,hongos,argiria,plateado
314,prurito,animal,hipersensibilidad,droga
315,psitacosis,clamidia,sarna,animal
316,fototoxicidad,claro,hemocromatosis,hierro
317,leishmaniosis,protozoo,excoriacion,friccion
318,psitacosis,clamidia,miasis,artropodo
319,micetoma,hongos,coccidiosis,protozoo
320,polio,enterovirico,amiantosis,asbestos
321,prurito,animal,fototoxicidad,claro
322,hipersensibilidad,droga,hemosiderosis,hierro
323,superinfeccion,organismo,psitacosis,clamidia
324,septicemia,microorganismo,hemosiderosis,hierro
325,osteomielitis,organismo,leishmaniosis,protozoo
326,onicomicosis,hongos,criptosporidiasis,criptosporidio
327,pielonefritis,organismo,onicomicosis,hongos
328,viremia,virico,leishmaniosis,protozoo
329,superinfeccion,organismo,leishmaniosis,protozoo
330,septicemia,microorganismo,hipersensibilidad,droga
331,miasis,artropodo,excoriacion,friccion
332,onicomicosis,hongos,dermatomicosis,hongos
333,septicemia,microorganismo,excoriacion,friccion
334,criptosporidiasis,criptosporidio,coccidiosis,protozoo
335,viremia,virico,pielonefritis,organismo
336,sepsis,microorganismo,osteomielitis,organismo
337,prurito,animal,onicomicosis,hongos
338,miasis,insectos,miasis,artropodo
339,prurito,artropodo,psitacosis,clamidia
340,prurito,artropodo,miasis,artropodo
341,osteomielitis,organismo,argiria,plateado
342,superinfeccion,organismo,criptosporidiasis,criptosporidio
343,neumoconiosis,polvo,amiantosis,asbestos
344,dermatomicosis,hongos,argiria,plateado
345,sarna,animal,dermatomicosis,hongos
346,miasis,insectos,hemosiderosis,hierro
347,pielonefritis,organismo,fototoxicidad,claro
348,viremia,virico,miasis,insectos
349,dermatomicosis,hongos,criptosporidiasis,criptosporidio
350,superinfeccion,organismo,micetoma,hongos
351,sarna,animal,criptosporidiasis,criptosporidio
352,prurito,animal,dermatomicosis,hongos
353,prurito,artropodo,micetoma,hongos
354,septicemia,microorganismo,amiantosis,asbestos
355,osteomielitis,organismo,micetoma,hongos
356,viremia,virico,onicomicosis,hongos
357,prurito,artropodo,neumoconiosis,polvo
358,pielonefritis,organismo,neumoconiosis,polvo
359,septicemia,microorganismo,dermatomicosis,hongos
360,superinfeccion,organismo,pielonefritis,organismo
361,viremia,virico,coccidiosis,protozoo
362,osteomielitis,organismo,amiantosis,asbestos
363,onicomicosis,hongos,amiantosis,asbestos
364,viremia,virico,septicemia,microorganismo
365,septicemia,microorganismo,onicomicosis,hongos
366,sepsis,microorganismo,argiria,plateado
367,sepsis,microorganismo,hemocromatosis,hierro
368,sepsis,microorganismo,onicomicosis,hongos
369,sepsis,microorganismo,coccidiosis,protozoo
370,prurito,animal,leishmaniosis,protozoo
371,fototoxicidad,claro,miasis,artropodo
372,superinfeccion,organismo,osteomielitis,organismo
373,micetoma,hongos,hemocromatosis,hierro
374,micetoma,hongos,hipersensibilidad,droga
375,polio,enterovirico,miasis,insectos
376,excoriacion,friccion,argiria,plateado
377,miasis,artropodo,leishmaniosis,protozoo
