,Term1,Term2,Term3,Term4
208,niacinamida,niacina,faja,chico
209,azucar,sacarosa,auranofina,dorado
210,plateado,oral,aposito,cima
211,azucar,sacarosa,papaina,carbonildiamida
212,azucar,sacarosa,vaselina,cima
213,papaina,carbonildiamida,cojin,mediano
214,lanolina,cima,adhesivo,cima
215,colodion,cima,adhesivo,cima
216,esponja,esteril,colodion,cima
217,pierna,gran,cojin,mediano
218,faja,mediano,auranofina,dorado
219,plateado,oral,forro,adhesivo
220,saliva,sesenta,papaina,carbonildiamida
221,niacinamida,niacina,faja,mediano
222,insulina,humano,aposito,esteril
223,colodion,cima,vendaje,cima
224,yodopovidona,yodo,niacinamida,niacina
225,forro,adhesivo,aposito,esteril
226,yodopovidona,yodo,vendaje,cima
227,niacinamida,niacina,forro,adhesivo
228,saliva,treinta,pierna,gran
229,vaselina,cima,auranofina,dorado
230,lubricante,cima,pierna,chico
231,lubricante,cima,faja,mediano
232,celulosa,cima,faja,gran
233,papaina,carbonildiamida,aposito,espuma
234,pierna,chico,celulosa,cima
235,saliva,sesenta,pierna,gran
236,lubricante,cima,colodion,cima
237,saliva,oral,aposito,espuma
238,papaina,carbonildiamida,faja,mediano
239,vaselina,cima,celulosa,cima
240,plateado,oral,saliva,sesenta
241,pierna,chico,aposito,espuma
242,esponja,esteril,insulina,humano
243,azucar,sacarosa,lubricante,cima
244,plateado,oral,faja,mediano
245,forro,adhesivo,aposito,cima
246,yodopovidona,yodo,lanolina,cima
247,vaselina,cima,colodion,cima
248,vaselina,cima,vendaje,cima
249,colodion,cima,faja,mediano
250,graduado,plastico,celulosa,cima
251,saliva,sesenta,pierna,chico
252,saliva,oral,colodion,cima
253,azucar,sacarosa,colodion,cima
254,pierna,gran,celulosa,cima
255,saliva,treinta,lubricante,cima
256,plateado,oral,aposito,esteril
257,aposito,cima,faja,chico
258,insulina,humano,celulosa,cima
259,forro,adhesivo,pierna,chico
260,azucar,sacarosa,vendaje,cima
261,aposito,espuma,faja,mediano
262,azucar,sacarosa,cojin,mediano
263,esponja,esteril,faja,gran
264,lubricante,cima,auranofina,dorado
265,plateado,oral,vaselina,cima
266,saliva,oral,graduado,plastico
267,plateado,oral,adhesivo,cima
268,saliva,treinta,niacinamida,niacina
269,esponja,esteril,niacinamida,niacina
270,aposito,esteril,faja,mediano
271,lubricante,cima,forro,adhesivo
272,pierna,gran,aposito,cima
273,forro,adhesivo,auranofina,dorado
274,esponja,esteril,aposito,esteril
275,pierna,gran,graduado,plastico
276,aposito,cima,vendaje,cima
277,plateado,oral,saliva,oral
278,plateado,oral,graduado,plastico
279,saliva,sesenta,lanolina,cima
280,saliva,oral,cojin,mediano
281,azucar,sacarosa,celulosa,cima
282,faja,gran,adhesivo,cima
283,lanolina,cima,celulosa,cima
284,vaselina,cima,pierna,gran
285,azucar,sacarosa,saliva,treinta
286,lanolina,cima,cojin,mediano
287,lanolina,cima,faja,chico
288,azucar,sacarosa,aposito,cima
289,vaselina,cima,insulina,humano
290,yodopovidona,yodo,faja,mediano
291,graduado,plastico,aposito,espuma
292,azucar,sacarosa,plateado,oral
293,lanolina,cima,insulina,humano
294,lanolina,cima,colodion,cima
295,lanolina,cima,aposito,esteril
296,yodopovidona,yodo,aposito,cima
297,lubricante,cima,graduado,plastico
298,saliva,treinta,forro,adhesivo
299,niacinamida,niacina,pierna,chico
300,saliva,oral,celulosa,cima
301,vendaje,cima,adhesivo,cima
302,insulina,humano,graduado,plastico
303,saliva,sesenta,aposito,esteril
304,niacinamida,niacina,vendaje,cima
305,niacinamida,niacina,cojin,mediano
306,saliva,oral,lanolina,cima
307,yodopovidona,yodo,vaselina,cima
308,faja,mediano,adhesivo,cima
309,papaina,carbonildiamida,pierna,chico
310,forro,adhesivo,vendaje,cima
311,papaina,carbonildiamida,auranofina,dorado
312,lanolina,cima,vendaje,cima
313,aposito,cima,faja,mediano
314,plateado,oral,niacinamida,niacina
315,yodopovidona,yodo,lubricante,cima
316,yodopovidona,yodo,faja,gran
317,plateado,oral,vendaje,cima
318,saliva,treinta,celulosa,cima
319,yodopovidona,yodo,graduado,plastico
320,azucar,sacarosa,faja,gran
321,yodopovidona,yodo,insulina,humano
322,azucar,sacarosa,saliva,oral
323,azucar,sacarosa,lanolina,cima
324,vaselina,cima,aposito,esteril
325,azucar,sacarosa,pierna,gran
326,papaina,carbonildiamida,insulina,humano
327,plateado,oral,papaina,carbonildiamida
328,aposito,espuma,auranofina,dorado
329,yodopovidona,yodo,papaina,carbonildiamida
330,aposito,cima,adhesivo,cima
331,plateado,oral,cojin,mediano
332,yodopovidona,yodo,adhesivo,cima
333,esponja,esteril,faja,mediano
334,plateado,oral,faja,gran
335,aposito,espuma,adhesivo,cima
336,pierna,chico,adhesivo,cima
337,pierna,chico,colodion,cima
338,lubricante,cima,insulina,humano
339,lubricante,cima,faja,gran
340,pierna,gran,aposito,esteril
341,esponja,esteril,vendaje,cima
342,lubricante,cima,aposito,cima
343,pierna,gran,colodion,cima
344,saliva,sesenta,lubricante,cima
345,forro,adhesivo,faja,gran
346,yodopovidona,yodo,aposito,esteril
347,vaselina,cima,faja,gran
348,yodopovidona,yodo,auranofina,dorado
349,vaselina,cima,aposito,espuma
350,insulina,humano,colodion,cima
351,graduado,plastico,faja,chico
352,lubricante,cima,aposito,espuma
353,pierna,chico,auranofina,dorado
354,aposito,cima,auranofina,dorado
355,saliva,treinta,auranofina,dorado
356,cojin,mediano,adhesivo,cima
357,vendaje,cima,auranofina,dorado
358,saliva,sesenta,adhesivo,cima
359,saliva,treinta,aposito,esteril
360,graduado,plastico,aposito,cima
361,cojin,mediano,celulosa,cima
362,yodopovidona,yodo,pierna,gran
363,pierna,chico,faja,chico
364,niacinamida,niacina,insulina,humano
365,vaselina,cima,lubricante,cima
366,vaselina,cima,graduado,plastico
367,niacinamida,niacina,colodion,cima
368,aposito,esteril,faja,gran
369,celulosa,cima,faja,chico
370,niacinamida,niacina,pierna,gran
371,pierna,chico,pierna,gran
372,esponja,esteril,cojin,mediano
373,esponja,esteril,graduado,plastico
374,lubricante,cima,celulosa,cima
375,saliva,oral,faja,chico
376,graduado,plastico,vendaje,cima
377,pierna,gran,auranofina,dorado
378,yodopovidona,yodo,celulosa,cima
379,insulina,humano,auranofina,dorado
380,insulina,humano,aposito,cima
381,insulina,humano,adhesivo,cima
382,niacinamida,niacina,celulosa,cima
383,esponja,esteril,yodopovidona,yodo
384,saliva,sesenta,faja,gran
385,saliva,oral,yodopovidona,yodo
386,saliva,sesenta,auranofina,dorado
387,esponja,esteril,vaselina,cima
388,forro,adhesivo,aposito,espuma
389,saliva,sesenta,aposito,espuma
390,aposito,espuma,celulosa,cima
391,aposito,cima,cojin,mediano
392,niacinamida,niacina,aposito,cima
393,pierna,chico,aposito,cima
394,lanolina,cima,faja,mediano
395,aposito,esteril,cojin,mediano
396,aposito,cima,aposito,esteril
397,celulosa,cima,faja,mediano
398,niacinamida,niacina,lubricante,cima
399,graduado,plastico,aposito,esteril
400,pierna,chico,vendaje,cima
401,saliva,treinta,insulina,humano
402,pierna,chico,cojin,mediano
403,yodopovidona,yodo,forro,adhesivo
404,niacinamida,niacina,aposito,espuma
