,Term1,Term2,Term3,Term4
67,liposarcoma,piel,astigmatismo,ojo
68,pioderma,piel,osteoporosis,cartilago
69,retinitis,ojo,reflujo,esofago
70,hepatoesplenomegalia,higado,glomerulonefritis,riñon
71,fascitis,fascia,anosmia,nariz
72,osteomielitis,cartilago,nefrocalcinosis,riñon
73,septicemia,sangre,noma,piel
74,pioderma,piel,cefalodinia,cabeza
75,hepatoesplenomegalia,bazo,albinismo,piel
76,rinorrea,nariz,delirio,cerebro
77,esteatohepatitis,higado,hemocromatosis,higado
78,retinitis,retina,epididimitis,testiculo
79,vertigo,cerebro,parestesia,piel
80,impetigo,piel,amuck,cerebro
81,kuru,cerebro,hidrotorax,pleura
82,rinofima,piel,coroiditis,retina
83,poliosis,cabello,hipernasalidad,nariz
84,insomnio,cerebro,queloide,piel
85,scrapie,cerebro,poliartritis,articulaciones
86,pleuroneumonia,pulmon,encefalomielitis,cerebro
87,prognatismo,mandibula,hidrotorax,pleura
88,uveitis,ojo,endometritis,endometrio
89,lanugo,cabello,politricosis,piel
90,piometra,utero,dermatomiositis,piel
91,hiperreflexia,nervio,artritis,articulaciones
92,esclerodermia,fascia,hiperreflexia,nervio
93,escotoma,ojo,encefalitis,cerebro
94,soriasis,piel,alodinia,piel
95,paraqueratosis,piel,hepatoesplenomegalia,higado
96,desmayo,cerebro,fotopsia,ojo
97,palidez,cara,queratitis,cornea
98,neumonia,pulmon,epilepsia,cerebro
99,hiperreflexia,nervio,anovulatorio,ovario
100,nistagmo,ojo,hiperostosis,cartilago
101,traqueitis,traquea,maniaco,cerebro
102,afaquia,cristalino,ambliopia,ojo
103,asialia,mandibula,afaquia,cristalino
104,noma,piel,lipodistrofia,piel
105,rinofima,piel,catarata,cristalino
106,rosacea,piel,aura,cerebro
107,queratitis,ojo,demencia,cerebro
108,escleritis,esclerotica,abrasion,piel
109,rosacea,piel,purpura,piel
110,uremia,riñon,hemocromatosis,higado
111,palidez,piel,corvaza,articulaciones
112,polineuritis,nervio,osteomielitis,cartilago
113,tendonitis,articulaciones,hidrotorax,pleura
114,crup,laringe,asma,pulmon
115,soriasis,piel,parasoriasis,piel
116,fascitis,fascia,acrodermatitis,piel
117,sudoracion,piel,coroiditis,retina
118,petequias,piel,presbicia,ojo
119,narcolepsia,cerebro,anosmia,nariz
120,taurodontismo,mandibula,bronconeumonia,pulmon
121,retinitis,coroides,uricacidemia,sangre
122,epididimitis,epididimo,ambidiestro,cerebro
123,psitacosis,pulmon,asma,pulmon
124,soriasis,piel,mediastinitis,mediastino
125,neuralgia,nervio,crup,traquea
126,lepra,piel,coroiditis,coroides
127,estertores,pecho,fototoxicidad,piel
128,kuru,cerebro,contextura,piel
129,escotoma,ojo,anquiloglosia,cara
130,stare,ojo,polio,cerebro
131,esclerodermia,fascia,aura,cerebro
132,pterigion,conjuntiva,endometritis,endometrio
133,impetigo,piel,artrogrifosis,articulaciones
134,laringitis,laringe,atelectasia,pulmon
135,dermatomicosis,piel,criptorquidia,testiculo
136,asialia,mandibula,epilepsia,cerebro
137,rubor,cabello,afaquia,cristalino
138,silicatosis,pulmon,diaforesis,cabello
139,uremia,riñon,guiño,nervio
140,paraqueratosis,piel,gastrinoma,duodeno
141,asialia,saliva,sepsis,sangre
142,rinorrea,nariz,anovulatorio,ovario
143,tinnitus,laberinto,hidrotorax,pleura
144,neumonia,pulmon,disfluidez,cerebro
145,piedra,cabello,laringitis,laringe
146,aturdimiento,cerebro,ambidiestro,cerebro
147,variola,piel,albinismo,piel
148,piometra,utero,neuritis,nervio
149,hiperostosis,cartilago,anosmia,nariz
150,liposarcoma,piel,anovulatorio,ovario
151,hipomania,cerebro,hipernasalidad,nariz
152,glositis,mandibula,guiño,nervio
153,picazon,piel,pesadilla,cerebro
154,taurodontismo,cara,colestasis,higado
155,palidez,piel,miocarditis,miocardio
156,sudoracion,piel,ambidiestro,cerebro
157,poliosis,piel,hirsutismo,cabello
158,fibrilacion,corazon,despierto,cerebro
159,hiperemia,cabello,queilitis,mandibula
160,hiperbilirrubinemia,higado,glaucoma,ojo
161,bursitis,articulaciones,flictena,piel
162,vaccina,piel,neumoconiosis,pulmon
163,osteoma,cartilago,queratoconjuntivitis,conjuntiva
164,vitiligo,piel,artrogrifosis,articulaciones
165,pustula,piel,pterigion,cornea
166,cecitis,ciego,corvaza,articulaciones
167,emetropia,ojo,ambidiestro,cerebro
168,raquitismo,cartilago,abrasion,piel
169,escleritis,ojo,retinitis,retina
170,neuromielitis,nervio,crup,laringe
171,piometra,utero,artrogrifosis,articulaciones
172,escleritis,ojo,queratoconjuntivitis,cornea
173,queratitis,ojo,celulitis,piel
174,scrapie,cerebro,rinofima,piel
175,gingivoestomatitis,encia,rubor,cara
176,glaucoma,ojo,anquiloglosia,mandibula
177,diplopia,ojo,albinismo,ojo
178,rubor,cabello,dermatomicosis,piel
179,esclerodermia,fascia,insulinoma,pancreas
180,nefritis,riñon,duodenitis,duodeno
181,psitacosis,pulmon,hipernasalidad,nariz
182,sudoracion,cabello,soriasis,piel
183,miliaria,piel,artrogrifosis,articulaciones
184,palidez,cara,criptorquidia,testiculo
185,insulinoma,pancreas,excoriacion,piel
186,palidez,cara,insulinoma,abdomen
187,desgarro,piel,mareo,cerebro
188,emetropia,ojo,anquiloglosia,lengua
189,uveitis,uvea,glaucoma,ojo
190,neuralgia,nervio,encefalomielitis,cerebro
191,demencia,cerebro,albinismo,ojo
192,miasis,piel,duodenitis,duodeno
193,palidez,piel,abrasion,piel
194,neuralgia,nervio,alinfocitosis,linfocito
195,taurodontismo,mandibula,retinitis,coroides
196,miopia,ojo,hepatitis,higado
197,nefrocalcinosis,riñon,epididimitis,testiculo
198,lepra,piel,hepatitis,higado
199,pioderma,piel,angioedema,piel
200,prurito,piel,anquiloglosia,cara
201,scrapie,cerebro,osteoporosis,cartilago
202,pleuroneumonia,pulmon,atelectasia,pulmon
203,queratitis,cornea,cianosis,cabello
204,petequias,piel,atelectasia,pulmon
205,estrabismo,ojo,nefrocalcinosis,riñon
206,priapismo,pene,insulinoma,abdomen
207,retinitis,retina,excoriacion,piel
208,gingivitis,mandibula,esofagitis,esofago
209,polio,cerebro,corvaza,articulaciones
210,esplenomegalia,bazo,hiperreflexia,nervio
211,diplopia,ojo,bronconeumonia,pulmon
212,periodontitis,mandibula,parestesia,piel
213,septicemia,sangre,gingivoestomatitis,encia
214,nistagmo,ojo,equimosis,cabello
215,noma,piel,hepatomegalia,higado
216,sepsis,sangre,coriorretinitis,retina
217,uveitis,ojo,dismenorrea,utero
218,prognatismo,mandibula,lanugo,cabello
219,urticaria,piel,escotoma,ojo
220,hiperpigmentacion,piel,hepatomegalia,higado
221,estertores,pecho,encandilamiento,ojo
222,neumoconiosis,pulmon,laberintitis,laberinto
223,kuru,cerebro,deslumbramiento,ojo
224,kuru,cerebro,fascitis,fascia
225,glositis,mandibula,epididimitis,testiculo
226,prognatismo,mandibula,mastitis,mama
227,pitiriasis,piel,queratoconjuntivitis,cornea
228,rosacea,piel,duodenitis,duodeno
229,rinorrea,nariz,eczema,piel
230,parestesia,piel,kuru,posencefalo
231,vaccina,piel,uveitis,ojo
232,erisipela,piel,calvicie,piel
233,vaccina,piel,anquiloglosia,mandibula
234,retinitis,retina,diplopia,ojo
235,taurodontismo,cara,catarata,cristalino
236,nistagmo,ojo,criptorquidia,pelvis
237,scrapie,posencefalo,hepatitis,higado
238,hiperqueratosis,piel,diaforesis,cabello
239,insomnio,cerebro,hiperemia,cabello
240,neuritis,nervio,corvaza,articulaciones
241,miasis,piel,paperas,mandibula
242,fibrilacion,corazon,eczema,piel
243,noma,mandibula,insulinoma,abdomen
244,miopia,ojo,emetropia,ojo
245,fascitis,fascia,dermatomiositis,piel
246,vaginitis,vagina,pitiriasis,piel
247,taurodontismo,lengua,scrapie,posencefalo
248,pterigion,conjuntiva,parasoriasis,piel
249,artralgia,articulaciones,acrodermatitis,piel
250,hiperbilirrubinemia,higado,hemoptisis,expectoracion
251,hemoptisis,expectoracion,ambidiestro,cerebro
252,flictena,piel,guiño,ojo
253,noma,mandibula,colestasis,higado
254,pterigion,cornea,nefrocalcinosis,riñon
255,crup,traquea,cicatriz,piel
256,taurodontismo,lengua,rubor,cabello
257,miasis,piel,alodinia,piel
258,piedra,piel,osteitis,cartilago
259,reflujo,esofago,hiperreflexia,nervio
260,espondilosis,articulaciones,afaquia,cristalino
261,lipodistrofia,piel,amordazar,esofago
262,miopia,ojo,anosmia,nariz
263,escleritis,esclerotica,parasoriasis,piel
264,keratosis,piel,gingivoestomatitis,encia
265,mastitis,mama,dormido,cerebro
266,sepsis,sangre,hipospadias,uretra
267,lanugo,cabello,anquiloglosia,mandibula
268,osteomielitis,cartilago,ictericia,piel
269,xerodermia,piel,bursitis,articulaciones
270,desmayo,cerebro,anosmia,nariz
271,neumonitis,pulmon,anquiloglosia,lengua
272,hiperemia,piel,dermatomiositis,piel
273,queratoconjuntivitis,conjuntiva,colestasis,higado
274,osteitis,cartilago,neuritis,nervio
275,tracoma,conjuntiva,duodenitis,duodeno
276,bacteriemia,sangre,dormido,cerebro
277,uremia,riñon,flictena,piel
278,gota,sangre,anquiloglosia,mandibula
279,lipoatrofia,piel,amuck,cerebro
280,fotofobia,ojo,coriorretinitis,retina
281,espondilosis,articulaciones,estornudo,nariz
282,palidez,piel,acidez,piel
283,estornudo,nariz,reumatismo,articulaciones
284,queratocono,cornea,encefalitis,cerebro
285,progeria,piel,dislexia,cerebro
286,taurodontismo,mandibula,artralgia,articulaciones
287,taurodontismo,mandibula,meningoencefalitis,cerebro
288,pleuroneumonia,pulmon,fibrilacion,corazon
289,vertigo,cerebro,flictena,piel
290,polineuropatia,nervio,calvicie,cabello
291,piometra,utero,mielitis,cerebro
292,bronconeumonia,pulmon,abrasion,piel
293,keratosis,piel,acne,piel
294,estertores,pecho,psitacosis,pulmon
295,vaccina,piel,traqueitis,traquea
296,parestesia,piel,guiño,ojo
297,peritonitis,peritoneo,acidez,piel
298,escleritis,ojo,hirsutismo,piel
299,parestesia,piel,coriorretinitis,coroides
300,sudoracion,piel,lanugo,cabello
301,asialia,mandibula,tendonitis,articulaciones
302,asialia,saliva,asma,pulmon
303,laberintitis,laberinto,apendicitis,apendice
304,neuromielitis,nervio,esofagitis,esofago
305,escleritis,esclerotica,desgarro,piel
306,mastitis,mama,hiperpatia,piel
307,queratitis,cornea,crup,laringe
308,pitiriasis,piel,mareo,cerebro
309,impetigo,piel,encefalitis,cerebro
310,artritis,articulaciones,acalasia,abdomen
311,carotico,cerebro,retinoblastoma,retina
312,lanugo,cabello,queratoconjuntivitis,conjuntiva
313,sudoracion,cabello,palidez,piel
314,uveitis,ojo,hiperpigmentacion,piel
315,retinoblastoma,retina,anovulatorio,ovario
316,neumotorax,pleura,periodontitis,mandibula
317,pioderma,piel,conjuntivitis,conjuntiva
318,somnolencia,cerebro,conjuntivitis,conjuntiva
319,meningoencefalitis,cerebro,anquiloglosia,lengua
320,tracoma,ojo,neumotorax,pleura
321,lanugo,cabello,hepatomegalia,higado
322,hiperqueratosis,piel,rubor,cabello
323,mastitis,mama,foliculitis,piel
324,miopia,ojo,queratitis,cornea
325,cicatriz,piel,catarata,cristalino
326,escleritis,esclerotica,rosacea,piel
327,artrogrifosis,cerebro,posimagen,ojo
328,tracoma,conjuntiva,demencia,cerebro
329,piometra,utero,celulitis,piel
330,palidez,cara,kuru,posencefalo
331,uveitis,uvea,tatuaje,piel
332,tinnitus,laberinto,scrapie,posencefalo
333,hepatoesplenomegalia,bazo,criptorquidia,pelvis
334,enterorragia,recto,amaurosis,ojo
335,osteitis,cartilago,cefalodinia,cabeza
336,palidez,cara,disfluidez,cerebro
337,sudoracion,cabello,escleritis,ojo
338,rosacea,piel,apendicitis,apendice
339,prostatitis,prostata,amiantosis,pulmon
340,estornudo,nariz,pleuroneumonia,pulmon
341,xerodermia,piel,anosmia,nariz
342,aura,cerebro,astigmatismo,ojo
343,dermatomicosis,cabello,artritis,articulaciones
344,politricosis,cabello,abrasion,piel
345,pleuresia,pleura,celulitis,piel
346,progeria,piel,contextura,cara
347,tracoma,conjuntiva,hipospadias,uretra
348,reumatismo,articulaciones,dislexia,cerebro
349,tendonitis,articulaciones,pericarditis,corazon
350,hemotorax,pleura,demencia,cerebro
351,miliaria,piel,glomerulonefritis,riñon
352,uremia,riñon,mareo,cerebro
353,pterigion,cornea,mirada,ojo
354,hipernasalidad,nariz,anquiloglosia,cara
355,dermatomiositis,piel,amaurosis,ojo
356,pericarditis,corazon,acidez,esofago
357,retinitis,retina,gingivitis,encia
358,tinnitus,laberinto,reflujo,abdomen
359,uricacidemia,sangre,glositis,lengua
360,estertores,pecho,meningococemia,sangre
361,paraqueratosis,piel,calvicie,cabello
362,rubor,cabello,ambidiestro,cerebro
363,vertigo,laberinto,retinitis,ojo
364,ciatica,articulaciones,lipoatrofia,piel
365,sarna,piel,insulinoma,pancreas
366,laringitis,laringe,excoriacion,piel
367,traqueitis,traquea,hepatomegalia,higado
368,vaccina,piel,palidez,cara
369,pesadilla,cerebro,disfluidez,cerebro
370,vertigo,laberinto,coroiditis,coroides
371,esteatohepatitis,higado,glaucoma,ojo
372,osteoporosis,cartilago,hirsutismo,piel
373,palidez,cara,mielitis,cerebro
374,estrabismo,ojo,kuru,posencefalo
375,piometra,utero,rubor,piel
376,kuru,posencefalo,ambidiestro,cerebro
377,polineuritis,nervio,aturdimiento,cerebro
378,parestesia,piel,ictericia,piel
379,osteomalacia,cartilago,miasis,piel
380,lipodistrofia,piel,laberintitis,laberinto
381,politricosis,cabello,aura,cerebro
382,parestesia,piel,acrodermatitis,piel
383,sudoracion,piel,ginecomastia,mama
384,hiperpatia,piel,enterorragia,recto
385,hipomania,cerebro,artrogrifosis,articulaciones
386,pancreatitis,pancreas,dislexia,cerebro
387,somnolencia,cerebro,cataplexia,cerebro
388,liposarcoma,piel,hidronefrosis,riñon
389,uveitis,uvea,acidez,esofago
390,bursitis,articulaciones,calvicie,piel
391,desgarro,piel,encefalomielitis,cerebro
392,silicatosis,pulmon,palidez,piel
393,hiperreflexia,nervio,colestasis,higado
394,hemotorax,pleura,gingivoestomatitis,encia
395,estornudo,nariz,hirsutismo,cabello
396,vitiligo,piel,encefalomielitis,cerebro
397,uremia,riñon,epididimitis,epididimo
398,diplopia,ojo,delirio,cerebro
399,prognatismo,cartilago,disfluidez,cerebro
400,estrabismo,ojo,rosacea,piel
401,desmayo,cerebro,stare,ojo
402,glositis,mandibula,epilepsia,cerebro
403,hidronefrosis,riñon,hirsutismo,cabello
404,carotico,cerebro,piometra,utero
405,impetigo,piel,acne,piel
406,prurito,piel,bursitis,articulaciones
407,tendonitis,articulaciones,calvicie,piel
408,prognatismo,cartilago,noma,mandibula
409,uveitis,ojo,coriorretinitis,retina
410,pleuresia,pleura,ginecomastia,mama
411,dermatomicosis,cabello,diaforesis,cabello
412,mastitis,mama,hepatitis,higado
413,pterigion,conjuntiva,epilepsia,cerebro
414,mastitis,mama,presbicia,ojo
415,polio,cerebro,coriorretinitis,retina
416,espondilosis,articulaciones,emetropia,ojo
417,traqueitis,traquea,flictena,piel
418,gingivitis,mandibula,aturdimiento,cerebro
419,kuru,posencefalo,criptorquidia,pelvis
420,cecitis,ciego,crup,traquea
421,hipospadias,uretra,angioedema,piel
422,carotico,cerebro,neuralgia,nervio
423,narcolepsia,cerebro,asma,pulmon
424,retinitis,ojo,lipodistrofia,piel
425,xerodermia,piel,coriorretinitis,coroides
426,artralgia,articulaciones,anovulatorio,ovario
427,hemoptisis,expectoracion,enterorragia,recto
428,hidrotorax,pleura,afaquia,cristalino
429,neuritis,nervio,nefrocalcinosis,riñon
430,mastitis,mama,ictericia,piel
431,tendonitis,articulaciones,hiperemia,piel
432,hiperreflexia,nervio,atelectasia,pulmon
433,osteopenia,cartilago,anosmia,nariz
434,rinorrea,nariz,parestesia,piel
435,queratoconjuntivitis,ojo,cefalodinia,cabeza
436,escleritis,ojo,crup,traquea
437,variola,piel,ictericia,piel
438,pericarditis,corazon,queilitis,mandibula
439,neuropatia,nervio,impetigo,piel
440,laminitis,pezuña,coroiditis,retina
441,retinitis,retina,alinfocitosis,linfocito
442,pterigion,cornea,fascitis,fascia
443,taurodontismo,mandibula,hipersomnia,cerebro
444,rinorrea,nariz,hirsutismo,piel
445,soriasis,piel,amuck,cerebro
446,onicomicosis,piel,acalasia,abdomen
447,criptorquidia,pelvis,cataplexia,cerebro
448,sudoracion,cabello,anosmia,nariz
449,miasis,piel,endometritis,endometrio
450,ovulatorio,ovario,eczema,piel
451,scrapie,posencefalo,ciatica,articulaciones
452,uveitis,uvea,guiño,ojo
453,palidez,cara,keratosis,piel
454,pancreatitis,pancreas,nistagmo,ojo
455,queratoconjuntivitis,cornea,glaucoma,ojo
456,uremia,riñon,retinitis,retina
457,parestesia,piel,antrax,piel
458,polineuritis,nervio,anquiloglosia,cara
459,escotoma,ojo,hipernasalidad,nariz
460,mielitis,cerebro,coriorretinitis,retina
461,taurodontismo,mandibula,poiquilodermia,piel
462,urticaria,piel,pleuresia,pleura
463,tinnitus,laberinto,anovulatorio,ovario
464,scrapie,posencefalo,mirada,ojo
465,erisipela,piel,contextura,piel
466,sepsis,sangre,neuralgia,nervio
467,hiperostosis,cartilago,hidronefrosis,riñon
468,coroiditis,coroides,anosmia,nariz
469,xerodermia,piel,dermatitis,piel
470,celulitis,piel,bacteriemia,sangre
471,variola,piel,conjuntivitis,conjuntiva
472,osteitis,cartilago,nefrocalcinosis,riñon
473,pterigion,conjuntiva,paraqueratosis,piel
474,penfigo,piel,coriorretinitis,coroides
475,poiquilodermia,piel,artrogrifosis,articulaciones
476,gingivoestomatitis,encia,albinismo,ojo
477,retinitis,coroides,insulinoma,abdomen
478,esteatohepatitis,higado,pterigion,cornea
479,viremia,sangre,cianosis,piel
480,anosmia,nariz,anquiloglosia,cara
481,hiperqueratosis,piel,disfluidez,cerebro
482,penfigo,piel,hemocromatosis,higado
483,pancreatitis,pancreas,calvicie,cabello
484,hipersomnia,cerebro,ginecomastia,mama
485,escleritis,esclerotica,dermatomicosis,piel
486,desvanecimiento,cerebro,hemoptisis,expectoracion
487,gastrinoma,duodeno,diaforesis,cabello
488,queratocono,cornea,coriorretinitis,coroides
489,queratoconjuntivitis,conjuntiva,epididimitis,epididimo
490,hepatoesplenomegalia,bazo,artrogrifosis,articulaciones
491,ovulatorio,ovario,presbicia,ojo
492,variola,piel,criptorquidia,testiculo
493,priapismo,pene,hepatoesplenomegalia,bazo
494,hemotorax,pleura,astigmatismo,ojo
495,soriasis,piel,dislexia,cerebro
496,contextura,cara,celulitis,piel
497,pielonefritis,riñon,pancreatitis,pancreas
498,parestesia,piel,hipersomnia,cerebro
499,ictericia,piel,diaforesis,cabello
500,aturdimiento,cerebro,calvicie,cabello
501,hiperemia,cabello,cianosis,cabello
502,afaquia,cristalino,abrasion,piel
503,maloclusion,denticion,rubor,piel
504,periodontitis,mandibula,epilepsia,cerebro
505,reumatismo,articulaciones,diplopia,ojo
506,noma,mandibula,dislexia,cerebro
507,antrax,piel,ambidiestro,cerebro
508,rubor,cara,anquiloglosia,mandibula
509,neumoconiosis,pulmon,aturdimiento,cerebro
510,scrapie,cerebro,contextura,cara
511,picazon,piel,meningococemia,sangre
512,uveitis,uvea,palidez,piel
513,escleritis,esclerotica,corvaza,articulaciones
514,prognatismo,mandibula,dermatomicosis,piel
515,mareo,cerebro,albinismo,piel
516,estornudo,nariz,narcosis,cerebro
517,queratoconjuntivitis,conjuntiva,anosmia,nariz
518,reumatismo,articulaciones,prostatitis,prostata
519,orquitis,testiculo,gingivitis,encia
520,viremia,sangre,endometritis,endometrio
521,ictericia,piel,artrogrifosis,cerebro
522,acidez,piel,angioedema,piel
523,esclerodermia,fascia,fotofobia,ojo
524,retinitis,coroides,acne,piel
525,petequias,piel,miasis,piel
526,equimosis,cabello,afaquia,cristalino
527,purpura,piel,queratoconjuntivitis,ojo
528,sepsis,sangre,anosmia,nariz
529,estornudo,nariz,celulitis,piel
530,fotofobia,ojo,laminitis,pezuña
531,glaucoma,ojo,alodinia,piel
532,periodontitis,mandibula,kuru,cerebro
533,noma,mandibula,disfluidez,cerebro
534,bronquiolitis,pulmon,anovulatorio,ovario
535,esplenomegalia,bazo,glositis,lengua
536,septicemia,sangre,miocarditis,miocardio
537,uremia,riñon,afaquia,cristalino
538,midriasis,pupilar,coriorretinitis,retina
539,queloide,piel,acne,piel
540,pielonefritis,riñon,endometritis,endometrio
541,neumonitis,pulmon,nefritis,riñon
542,dermatomiositis,piel,despierto,cerebro
543,taurodontismo,cara,miocarditis,miocardio
544,neumoconiosis,pulmon,osteopenia,cartilago
545,tracoma,conjuntiva,hiperemia,cabello
546,demencia,cerebro,calvicie,piel
547,espondilosis,articulaciones,gingivoestomatitis,encia
548,rinorrea,nariz,hidrotorax,pleura
549,pinguicula,conjuntiva,kuru,posencefalo
550,pancreatitis,pancreas,enterorragia,recto
551,foliculitis,piel,diaforesis,cabello
552,polio,cerebro,presbicia,ojo
553,penfigo,piel,hepatoesplenomegalia,bazo
554,neumotorax,pleura,erisipela,piel
555,traqueitis,traquea,hemocromatosis,higado
556,tinnitus,laberinto,epilepsia,cerebro
557,scrapie,posencefalo,paraqueratosis,piel
558,neuralgia,nervio,sarna,piel
559,insomnio,cerebro,fibromialgia,articulaciones
560,viremia,sangre,desgarro,piel
561,hiperemia,cabello,epididimitis,epididimo
562,artrogrifosis,cerebro,artritis,articulaciones
563,prurito,piel,alodinia,piel
564,polineuropatia,nervio,contextura,cara
565,estrabismo,ojo,hipernasalidad,nariz
566,psitacosis,pulmon,albinismo,piel
567,dermatomicosis,cabello,criptorquidia,testiculo
568,asialia,saliva,meningoencefalitis,cerebro
569,fotofobia,ojo,queratitis,cornea
570,fibromialgia,articulaciones,colestasis,higado
571,prurito,piel,cataplexia,cerebro
572,escencia,nariz,queratocono,cornea
573,prurito,piel,fibromialgia,articulaciones
574,desgarro,piel,diplopia,ojo
575,maloclusion,denticion,acrodermatitis,piel
576,parasoriasis,piel,ictericia,piel
577,pleuresia,pleura,fibromialgia,articulaciones
578,miocarditis,miocardio,emetropia,ojo
579,liposarcoma,piel,gastrinoma,duodeno
580,emetropia,ojo,bursitis,articulaciones
581,cecitis,ciego,nefritis,riñon
582,urticaria,piel,demencia,cerebro
583,rubor,piel,apendicitis,apendice
584,pericarditis,corazon,diaforesis,piel
585,polio,cerebro,agiria,cerebro
586,hiperbilirrubinemia,higado,antrax,piel
587,petequias,piel,criptorquidia,pelvis
588,celulitis,piel,astigmatismo,ojo
589,vertigo,laberinto,nefrocalcinosis,riñon
590,anquiloglosia,lengua,calvicie,piel
591,picazon,piel,anosmia,nariz
592,narcolepsia,cerebro,politricosis,piel
593,traqueitis,traquea,laberintitis,laberinto
594,cianosis,cabello,catarata,cristalino
595,purpura,piel,dormido,cerebro
596,scrapie,cerebro,maniaco,cerebro
597,gastrinoma,duodeno,coroiditis,uvea
598,esclerodermia,fascia,hiperbilirrubinemia,higado
599,mirada,ojo,abrasion,piel
600,queratitis,ojo,gingivitis,encia
601,peritonitis,peritoneo,apendicitis,apendice
602,queratoconjuntivitis,conjuntiva,dormido,cerebro
603,impetigo,piel,foliculitis,piel
604,rinorrea,nariz,endocarditis,endocardio
605,rinorrea,nariz,fascitis,fascia
606,apendicitis,apendice,anquiloglosia,lengua
607,queratoconjuntivitis,ojo,amordazar,esofago
608,foliculitis,piel,alodinia,piel
609,parestesia,piel,artrogrifosis,articulaciones
610,meningococemia,sangre,queilitis,mandibula
611,meningoencefalitis,cerebro,hemocromatosis,higado
612,hiperreflexia,nervio,acalasia,abdomen
613,rubor,cara,colestasis,higado
614,emetropia,ojo,bruxismo,mandibula
615,cianosis,piel,acne,piel
616,pterigion,cornea,fototoxicidad,piel
617,endometritis,endometrio,artralgia,articulaciones
618,orquitis,testiculo,bronconeumonia,pulmon
619,vertigo,laberinto,rinorrea,nariz
620,picazon,piel,dermatomiositis,piel
621,escleritis,esclerotica,uricacidemia,sangre
622,glomerulonefritis,riñon,amordazar,esofago
623,hiperpigmentacion,piel,guiño,ojo
624,xerodermia,piel,cataplexia,cerebro
625,tracoma,ojo,endometritis,endometrio
626,variola,piel,encandilamiento,ojo
627,pleuroneumonia,pleura,endocarditis,endocardio
628,uremia,riñon,epididimitis,testiculo
629,miocarditis,miocardio,artralgia,articulaciones
630,estrabismo,ojo,laringitis,laringe
631,queratoconjuntivitis,cornea,hidrotorax,pleura
632,polineuropatia,nervio,hidronefrosis,riñon
633,noma,mandibula,artralgia,articulaciones
634,lanugo,cabello,eczema,piel
635,variola,piel,celulitis,piel
636,disfluidez,cerebro,anquiloglosia,mandibula
637,bruxismo,mandibula,bronconeumonia,pulmon
